segment_id,lat_cell,lon_cell,detections
0,37.4,49.6,2
0,-17.2,22.6,83
0,-14.5,143.4,19
0,-11.5,-41.0,7
0,18.2,-95.4,3
0,7.6,-65.6,9
0,0.3,30.8,2
0,30.7,48.8,9
0,23.8,-106.5,9
0,-14.0,-42.6,13
0,22.6,-104.6,131
0,-37.9,143.8,1
0,-19.4,127.7,4
0,53.3,-106.8,2
0,41.1,-96.9,2
0,10.7,-14.1,17
0,-10.5,35.4,126
0,13.6,-7.1,4
0,7.8,-62.2,1
0,-14.3,24.3,238
0,-27.9,152.9,10
0,-15.2,28.3,72
0,-28.3,114.3,1
0,-11.5,-47.7,23
0,35.8,-82.2,1
0,37.3,95.8,5
0,-17.9,35.1,175
0,20.5,-104.3,7
0,-17.4,-49.1,1
0,17.9,103.4,1
0,27.9,45.4,59
0,-17.6,32.0,30
0,14.1,-16.7,2
0,-3.2,12.6,7
0,-23.0,31.2,3
0,34.3,7.9,1
0,-12.6,134.6,99
0,35.5,-92.6,1
0,40.9,69.9,1
0,-14.8,128.0,311
0,-12.7,-69.3,32
0,51.2,62.0,3
0,52.1,6.4,6
0,4.9,19.8,4
0,39.2,48.5,8
0,12.8,-86.2,21
0,15.1,-86.1,2
0,10.9,107.4,5
0,-16.2,-48.9,2
0,-12.7,14.4,189
0,13.6,-88.1,1
0,-18.6,48.3,4
0,36.4,127.7,1
0,49.9,39.1,1
0,18.1,100.5,1
0,-20.0,-49.4,4
0,30.9,-93.0,8
0,36.8,-80.1,2
0,-4.1,142.6,1
0,3.1,32.9,7
0,32.8,-82.5,4
0,-12.1,-69.1,4
0,-4.5,19.8,212
0,55.7,38.2,1
0,-12.3,39.1,61
0,23.3,116.4,1
0,14.0,9.4,1
0,-19.9,45.6,52
0,-22.7,34.9,33
0,54.7,133.9,1
0,29.7,-108.2,213
0,-13.2,27.5,185
0,-28.1,-49.7,1
0,-18.2,-40.3,2
0,19.4,76.4,1
0,2.6,11.0,2
0,48.9,38.1,137
0,-7.4,-58.2,6
0,30.1,108.1,8
0,8.6,-68.3,1
0,-23.9,21.7,6
0,-10.1,39.0,124
0,-34.7,117.6,2
0,42.6,70.1,1
0,24.9,94.3,1
0,-9.9,-39.5,2
0,38.1,112.5,2
0,-17.5,18.4,31
0,26.3,106.6,8
0,39.9,66.6,2
0,-16.8,-39.9,1
0,32.7,74.0,2
0,-10.4,34.6,14
0,39.4,16.4,1
0,34.5,118.7,1
0,51.3,109.7,20
0,-6.9,28.9,97
0,-13.8,-40.6,4
0,-12.9,40.4,86
0,-7.4,35.9,5
0,6.7,40.4,2
0,50.8,66.4,1
0,38.4,-2.7,1
0,12.5,-85.8,3
0,-16.4,47.3,19
0,39.4,-84.5,113
0,-9.9,15.9,232
0,-10.1,-50.5,25
0,14.9,0.7,1
0,59.0,-119.5,3
0,49.1,76.9,1
0,-7.3,-41.2,2
0,-12.3,131.1,203
0,-8.6,-72.7,2
0,54.3,55.0,1
0,29.8,72.2,20
0,32.7,-98.9,4
0,-7.6,16.8,114
0,-6.8,-76.2,7
0,-9.6,-64.8,3
0,24.4,104.8,3
0,-5.4,148.1,1
0,42.1,116.4,2
0,-5.3,18.5,225
0,-19.2,13.9,3
0,33.4,49.4,1
0,4.7,-71.8,22
0,2.7,-73.7,1
0,-10.1,14.8,197
0,-26.0,-51.1,7
0,21.4,99.5,1
0,-15.1,39.3,8
0,-5.7,-41.0,22
0,40.9,118.2,1
0,-10.9,27.8,225
0,38.8,100.9,3
0,28.3,-98.2,1
0,-16.9,24.0,111
0,14.8,76.9,3
0,-14.1,-75.8,1
0,-4.2,36.0,31
0,44.4,23.8,1
0,43.7,44.4,12
0,39.8,-108.0,75
0,-16.2,16.4,98
0,55.7,-119.4,2
0,58.0,109.8,2
0,-11.2,-75.9,1
0,-28.2,25.1,1
0,31.0,-89.0,2
0,21.8,99.1,2
0,-18.0,-47.0,44
0,36.9,-89.5,14
0,-14.6,-55.1,1
0,3.1,-75.6,2
0,-8.2,-55.1,8
0,9.3,7.0,1
0,-7.9,27.9,137
0,-16.7,-62.8,11
0,-14.8,33.3,65
0,-8.9,39.0,7
0,29.3,112.1,1
0,-30.3,29.5,26
0,-23.7,150.0,20
0,-9.1,18.6,193
0,41.2,-78.7,14
0,1.3,24.1,2
0,20.9,-87.0,1
0,38.1,107.8,1
0,-17.7,33.7,35
0,-6.0,144.8,12
0,-16.3,16.0,44
0,6.6,-10.6,1
0,40.6,113.9,1
0,-1.1,38.3,1
0,30.2,-91.8,1
0,-41.6,-66.5,7
0,37.5,13.2,15
0,-25.2,-50.0,1
0,31.2,48.8,858
0,-15.8,49.1,1
0,-24.6,-61.2,6
0,-6.3,145.1,20
0,27.8,114.7,47
0,48.4,78.1,3
0,48.7,125.1,1
0,-28.8,29.3,27
0,18.6,-103.5,7
0,-19.1,12.8,1
0,34.2,-119.3,1
0,-36.6,-72.3,1
0,-5.4,31.3,122
0,51.2,65.4,8
0,6.8,-69.6,4
0,-24.1,149.7,1
0,32.0,-98.6,1
0,-10.9,25.6,367
0,-15.9,136.3,92
0,6.5,-74.6,1
0,-11.6,-55.2,1
0,-23.5,22.4,1
0,14.6,-88.5,12
0,36.7,-81.7,3
0,-1.8,34.5,1
0,12.8,-15.5,8
0,36.8,-85.3,1
0,-4.2,19.0,257
0,-30.7,151.0,3
0,26.6,67.2,11
0,29.1,76.4,8
0,41.0,-76.3,2
0,23.8,100.5,1
0,33.3,102.9,1
0,6.3,0.8,2
0,9.9,-73.7,2
0,29.0,51.5,2
0,31.4,-82.2,3
0,56.2,-104.9,261
0,33.3,71.6,1
0,-14.0,38.1,104
0,7.8,-5.0,1
0,-8.4,-74.0,3
0,-15.3,144.5,29
0,-14.2,37.0,110
0,0.1,100.6,4
0,56.4,60.2,43
0,-3.7,17.4,141
0,-23.6,-51.3,1
0,5.8,-72.3,1
0,-3.6,21.4,36
0,-16.8,17.2,62
0,-9.5,13.1,1
0,-18.2,130.0,8
0,46.9,-81.8,2
0,-26.4,151.4,13
0,-12.9,39.0,152
0,41.2,32.2,1
0,47.3,-91.8,25
0,47.2,6.1,2
0,-18.7,19.7,5
0,36.9,37.7,2
0,8.9,-72.6,1
0,-18.0,45.3,71
0,-10.1,39.5,30
0,10.5,77.7,3
0,36.6,36.7,3
0,-4.1,20.9,24
0,-5.9,-43.8,43
0,-11.8,133.4,17
0,9.9,19.1,2
0,-31.5,-67.2,1
0,-8.6,-74.5,37
0,40.0,67.8,2
0,13.2,-10.1,5
0,-18.9,31.3,9
0,20.3,0.9,5
0,-15.9,27.9,24
0,5.5,-61.4,1
0,-20.3,44.8,132
0,14.2,21.3,1
0,9.6,24.4,2
0,-25.2,-64.9,5
0,40.8,107.1,1
0,-1.6,11.5,1
0,52.4,-113.7,1
0,31.6,75.1,44
0,-17.3,-42.6,2
0,40.5,117.5,8
0,-11.9,-74.1,21
0,33.3,-95.3,1
0,57.8,-116.1,37
